форма шляпки,поверхность шляпки,цвет шляпки,повреждения,запах,крепление пластинок,расстояние между пластинками,размер пластинок,цвет пластинок,форма ножки,корень ножки,поверхность ножки выше кольца,поверхность ножки ниже кольца,цвет ножки выше кольца,цвет ножки ниже кольца,тип вуали,цвет вуали,количество колец,тип кольца,цвет спор,популяция,среда обитания,съедобность
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,серый,розовый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,розовый,белый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,серый,белый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,волокнистая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,серый,розовый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,серый,серый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,красная,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,гладкая,белая,переломы,жгучий,свободные,близкие,узкие,коричневые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,несколько,травы,ядовит
плоская,волокнистая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,серый,розовый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,розовый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,чешуйчатая,коричневая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,серый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,красная,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,серый,белый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
плоская,волокнистая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,розовый,серый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,серый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,коричневая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,серый,белый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,чешуйчатая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,розовый,серый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,розовый,серый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,розовый,серый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,серый,белый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,серый,розовый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
плоская,волокнистая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,красная,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,серый,серый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,гладкая,розовая,нет,смолистый,свободные,близкие,узкие,серые,удлиняющиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,несколько,леса,ядовит
выпуклая,волокнистая,красная,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,розовый,серый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
плоская,волокнистая,красная,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,розовый,серый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,розовый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,серый,белый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,розовый,серый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
плоская,волокнистая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,красная,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
плоская,чешуйчатая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,розовый,серый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
плоская,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,серый,белый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,розовый,белый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,волокнистая,серая,нет,тухлый,свободные,близкие,широкие,шоколадные,удлиняющиеся,луковичная,шелковистая,шелковистая,бежевый,бежевый,частичная,белый,одно,крупное,шоколадный,одиночное,травы,ядовит
выпуклая,чешуйчатая,коричневая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,белый,розовый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,серый,розовый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,розовый,серый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,розовый,белый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,волокнистая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
плоская,волокнистая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,розовый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,серая,нет,нет,свободные,плотные,широкие,черные,сужающиеся,равномерная,гладкая,волокнистая,белый,белый,частичная,белый,одно,исчезающее,коричневый,многочисленное,травы,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,волокнистая,красная,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,розовый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,серый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,серый,серый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,розовый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,волокнистая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,серый,белый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,белый,розовый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,розовый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,серый,серый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,серый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,розовый,белый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,серый,розовый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,волокнистая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,серый,серый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,розовый,белый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,розовый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,белый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,коричневая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,розовый,серый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
плоская,чешуйчатая,коричневая,переломы,жгучий,свободные,близкие,узкие,черные,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,городская,ядовит
выпуклая,гладкая,серая,нет,нет,свободные,плотные,широкие,коричневые,сужающиеся,равномерная,волокнистая,гладкая,белый,белый,частичная,белый,одно,исчезающее,коричневый,рассеянное,травы,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,серый,розовый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,волокнистая,красная,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,гладкая,розовая,нет,смолистый,свободные,плотные,узкие,фиолетовые,удлиняющиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,леса,ядовит
выпуклая,чешуйчатая,коричневая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,волокнистая,красная,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,чешуйчатая,коричневая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,розовый,серый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,гладкая,белая,нет,нет,свободные,плотные,широкие,черные,сужающиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,исчезающее,коричневый,рассеянное,травы,съедобен
плоская,волокнистая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,серый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,серый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,волокнистая,красная,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,серый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,розовый,белый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,волокнистая,красная,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,серый,розовый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
плоская,чешуйчатая,белая,переломы,жгучий,свободные,близкие,узкие,розовые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,городская,ядовит
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,волокнистая,красная,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,серый,белый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,волокнистая,красная,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,гладкая,белая,нет,нет,свободные,плотные,широкие,шоколадные,сужающиеся,равномерная,волокнистая,волокнистая,белый,белый,частичная,белый,одно,исчезающее,черный,рассеянное,травы,съедобен
выпуклая,волокнистая,коричневая,нет,нет,свободные,плотные,широкие,черные,сужающиеся,равномерная,волокнистая,гладкая,белый,белый,частичная,белый,одно,исчезающее,коричневый,многочисленное,травы,съедобен
выпуклая,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,розовый,серый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,розовый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,розовый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
выпуклая,волокнистая,серая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,серый,частичная,белый,одно,подвесное,черный,несколько,леса,съедобен
плоская,волокнистая,красная,переломы,нет,свободные,близкие,широкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,белый,розовый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
выпуклая,чешуйчатая,красная,переломы,нет,свободные,близкие,широкие,белые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,гладкая,белая,нет,смолистый,свободные,плотные,узкие,розовые,удлиняющиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,леса,ядовит
плоская,волокнистая,коричневая,переломы,нет,свободные,близкие,широкие,фиолетовые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,черный,одиночное,леса,съедобен
плоская,волокнистая,серая,переломы,нет,свободные,близкие,широкие,розовые,сужающиеся,луковичная,гладкая,гладкая,розовый,розовый,частичная,белый,одно,подвесное,коричневый,одиночное,леса,съедобен
